STATUS;MIEJSCOWOŒÆ;ULICA;NUMERY;GMINA;POWIAT;WOJEWÓDZTWO;POPRZEDNIO;TERAZ
+;Bêdzin;Sasanek;;Bêdzin;bêdziñski;œl¹skie;;42-506
-;Bêdzin (Ksawera);Franciszka ¯wirki i Stanis³awa Wigury;;Bêdzin;bêdziñski;œl¹skie;42-500;
+;Bêdzin (Ksawera);¯wirki i Wigury;;Bêdzin;bêdziñski;œl¹skie;;42-500
-;Bia³ystok;Aleja Konstytucji 3 Maja;;Bia³ystok;Bia³ystok;podlaskie;15-776;
+;Bia³ystok;Antoniny Soko³owskiej;;Bia³ystok;Bia³ystok;podlaskie;;15-162
-;Bia³ystok;Bacieczki;1-7(n), 2-30a(p);Bia³ystok;Bia³ystok;podlaskie;15-681;
+;Bia³ystok;Bacieczki;1-7(n), 2-42(p);Bia³ystok;Bia³ystok;podlaskie;;15-681
-;Bia³ystok;Bacieczki;9-141(n), 32-142(p), 174-DK;Bia³ystok;Bia³ystok;podlaskie;15-685;
+;Bia³ystok;Bacieczki;9-141(n), 44-142(p), 174-DK;Bia³ystok;Bia³ystok;podlaskie;;15-685
+;Bia³ystok;gen. Stanis³awa Sosabowskiego;1-23(n), 2-6(p), 25-DK;Bia³ystok;Bia³ystok;podlaskie;;15-182
-;Bia³ystok;gen. Stanis³awa Sosabowskiego;1-DK(n), 2-6(p), 28-DK(p);Bia³ystok;Bia³ystok;podlaskie;15-182;
+;Bia³ystok;Jerzego Giedroycia;;Bia³ystok;Bia³ystok;podlaskie;;15-197
+;Bia³ystok;Konstytucji 3 Maja Al.;;Bia³ystok;Bia³ystok;podlaskie;;15-776
-;Bia³ystok;Krzysztofa Kamila Baczyñskiego;;Bia³ystok;Bia³ystok;podlaskie;15-196;
+;Bia³ystok;Krzysztofa-Kamila Baczyñskiego;;Bia³ystok;Bia³ystok;podlaskie;;15-196
+;Bia³ystok;ks. Jerzego Popie³uszki;60-DK(p), 71-117(n);Bia³ystok;Bia³ystok;podlaskie;;15-657
-;Bia³ystok;ks. Jerzego Popie³uszki;60-DK(p), 71-DK(n);Bia³ystok;Bia³ystok;podlaskie;15-657;
+;Bia³ystok;ks. Zdzis³awa Peszkowskiego;;Bia³ystok;Bia³ystok;podlaskie;;15-772
#;Bia³ystok;Limonkowa;;Bia³ystok;Bia³ystok;podlaskie;15-795;15-794
-;Bia³ystok;mjr. Henryka Sucharskiego;;Bia³ystok;Bia³ystok;podlaskie;15-199;
+;Bia³ystok;mjr Henryka Sucharskiego;;Bia³ystok;Bia³ystok;podlaskie;;15-199
-;Bia³ystok;mjr. Hubala;;Bia³ystok;Bia³ystok;podlaskie;15-174;
+;Bia³ystok;mjr Hubala;;Bia³ystok;Bia³ystok;podlaskie;;15-174
-;Bia³ystok;mjr. Pilota Jana Micha³owskiego;;Bia³ystok;Bia³ystok;podlaskie;15-326;
+;Bia³ystok;mjr pilota Jana Micha³owskiego;;Bia³ystok;Bia³ystok;podlaskie;;15-326
-;Bia³ystok;Moniuszki;54-68(p), 63-67(n), 69-DK;Bia³ystok;Bia³ystok;podlaskie;15-196;
+;Bia³ystok;Moniuszki;54-DK(p), 63-DK(n);Bia³ystok;Bia³ystok;podlaskie;;15-196
-;Bia³ystok;Odleg³a;1-3a(n), 2-24(p);Bia³ystok;Bia³ystok;podlaskie;15-152;
+;Bia³ystok;Odleg³a;1-3g(n), 2-24(p);Bia³ystok;Bia³ystok;podlaskie;;15-152
#;Bia³ystok;Pistacjowa;;Bia³ystok;Bia³ystok;podlaskie;15-795;15-794
+;Bia³ystok;Szlachecka;;Bia³ystok;Bia³ystok;podlaskie;;15-698
-;Bia³ystok;Wietnamska;;Bia³ystok;Bia³ystok;podlaskie;15-628;
+;Bia³ystok;Wschodnia;1-4;Bia³ystok;Bia³ystok;podlaskie;;15-159
-;Bia³ystok;Wschodnia;1-DK;Bia³ystok;Bia³ystok;podlaskie;15-158;
+;Bia³ystok;Wschodnia;5-DK;Bia³ystok;Bia³ystok;podlaskie;;15-158
-;Bia³ystok;Wschodnia;60;Bia³ystok;Bia³ystok;podlaskie;15-184;
+;Bielsko-Bia³a;Dêbowiec;;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie;;43-382
-;Bielsko-Bia³a;Dywizji Koœciuszkowskiej;;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie;43-303;
+;Bielsko-Bia³a;Jana Karola Chodkiewicza;;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie;;43-300
+;Bielsko-Bia³a;Zamojska;;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie;;43-300
+;Bielsko-Bia³a;Zau³ek;;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie;;43-300
+;Bielsko-Bia³a;Zwrotnikowa;;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie;;43-318
-;Bieruñ (Bieruñ Stary);Franciszka ¯wirki i Stanis³awa Wigury;;Bieruñ;bieruñsko-lêdziñski;œl¹skie;43-150;
+;Bieruñ (Bieruñ Stary);¯wirki i Wigury;;Bieruñ;bieruñsko-lêdziñski;œl¹skie;;43-150
-;Biskupice Podgórne;;;Kobierzyce;wroc³awski;dolnoœl¹skie;55-040;
-;Blizne Jasiñskiego;Adama Mickiewicza;;Stare Babice;warszawski zachodni;mazowieckie;05-082;
-;Blizne Jasiñskiego;Aleksandra Fredry;;Stare Babice;warszawski zachodni;mazowieckie;05-082;
-;Blizne Jasiñskiego;Boles³awa Prusa;;Stare Babice;warszawski zachodni;mazowieckie;05-082;
-;Blizne Jasiñskiego;Cypriana Kamila Norwida;;Stare Babice;warszawski zachodni;mazowieckie;05-085;
-;Blizne Jasiñskiego;Elizy Orzeszkowej;;Stare Babice;warszawski zachodni;mazowieckie;05-082;
-;Blizne Jasiñskiego;Fryderyka Chopina;;Stare Babice;warszawski zachodni;mazowieckie;05-082;
-;Blizne Jasiñskiego;Henryka Sienkiewicza;;Stare Babice;warszawski zachodni;mazowieckie;05-082;
-;Blizne Jasiñskiego;Hubala Dobrzañskiego;;Stare Babice;warszawski zachodni;mazowieckie;05-082;
-;Blizne Jasiñskiego;Jana Kochanowskiego;;Stare Babice;warszawski zachodni;mazowieckie;05-082;
-;Blizne Jasiñskiego;Józefa Ignacego Kraszewskiego;;Stare Babice;warszawski zachodni;mazowieckie;05-082;
-;Blizne Jasiñskiego;Juliusza S³owackiego;;Stare Babice;warszawski zachodni;mazowieckie;05-082;
-;Blizne Jasiñskiego;Marii Konopnickiej;;Stare Babice;warszawski zachodni;mazowieckie;05-082;
-;Blizne Jasiñskiego;Miko³aja Kopernika;;Stare Babice;warszawski zachodni;mazowieckie;05-082;
-;Blizne Jasiñskiego;Miko³aja Reja;;Stare Babice;warszawski zachodni;mazowieckie;05-082;
